trip_id,arrival_time,departure_time,stop_id,stop_sequence
01-01-2025_7,2.05:00,2.05:00,STR,3
01-01-2025_7,2.4:00,2.4:00,STD,4
01-01-2025_8,0.4:00,0.4:00,LIV,1
01-01-2025_8,1.05:00,1.05:00,BETH,2
01-01-2025_8,2.35:00,2.35:00,STR,3
01-01-2025_8,3.05:00,3.05:00,STD,4
01-01-2025_9,1.25:00,1.25:00,LIV,1
01-01-2025_9,1.55:00,1.55:00,BETH,2
01-01-2025_9,3.15:00,3.15:00,STR,3
01-01-2025_9,3.5:00,3.5:00,STD,4
